Rank,Team,GM,W-L,FGM,FGA,FG%
74,Louisiana Tech (C-USA),33,23-10,915,"1,998",45.8
75,Fairleigh Dickinson (NEC),33,18-15,929,"2,029",45.8
76,ULM (Sun Belt),34,20-14,896,"1,957",45.8
77,Tennessee Tech (OVC),31,19-12,792,"1,730",45.8
78,Texas Southern (SWAC),33,18-15,848,"1,853",45.8
79,Pittsburgh (ACC),33,21-12,878,"1,919",45.8
80,Oklahoma (Big 12),37,29-8,"1,018","2,225",45.8
81,Iona (MAAC),33,22-11,919,"2,011",45.7
82,Chattanooga (SoCon),35,29-6,897,"1,963",45.7
83,Oral Roberts (Summit League),31,14-17,832,"1,821",45.7
84,Mississippi St. (SEC),31,14-17,850,"1,862",45.6
85,Northwestern St. (Southland),28,8-20,770,"1,687",45.6
86,Washington St. (Pac-12),31,9-22,805,"1,764",45.6
87,Milwaukee (Horizon),33,20-13,879,"1,927",45.6
88,Vanderbilt (SEC),33,19-14,857,"1,879",45.6
89,Lehigh (Patriot),32,17-15,810,"1,777",45.6
90,UNI (MVC),36,23-13,849,"1,863",45.6
91,Dayton (Atlantic 10),33,25-8,836,"1,836",45.5
92,Navy (Patriot),33,19-14,805,"1,768",45.5
93,UNC Asheville (Big South),34,22-12,898,"1,973",45.5
94,UNCW (CAA),33,25-8,928,"2,039",45.5
95,Samford (SoCon),33,14-19,845,"1,857",45.5
96,North Dakota (Big Sky),33,17-16,876,"1,926",45.5
97,Murray St. (OVC),31,17-14,770,"1,694",45.5
98,UConn (AAC),36,25-11,944,"2,079",45.4
99,Furman (SoCon),35,19-16,847,"1,866",45.4
100,UCLA (Pac-12),32,15-17,915,"2,016",45.4
