Team,Games,Wins,Losses,Win Pct,PPG,OPP PPG,SCR MAR,RPG,OPP RPG,REB MAR,FGMPG,FGAPG,FG%,FTPG,FTAPG,FT%,3FGPG,3FGAPG,3FG%,OPP FGPG,OPP FGAPG,OPP FG%,AST,ASTPG,TO,TOPG,AST/TO Ratio,OPP 3FGAPG,OPP 3FGPG,OPP 3FG%
SMU (AAC),17,11,6,64.7,74.6,68.1,6.5,36.7,34.9,1.8,26.82,58.76,45.6,13.35,18.35,72.8,7.65,21.82,35.0,23.24,57.41,40.5,260,15.29,238,14.0,1.09,22.41,7.88,35.2
North Texas (C-USA),28,18,10,64.3,69.8,62.3,7.5,33.0,30.9,2.1,25.61,54.14,47.3,10.93,14.68,74.5,7.64,20.39,37.5,22.11,53.64,41.2,373,13.32,358,12.79,1.04,19.07,6.36,33.3
Purdue (Big Ten),28,18,10,64.3,71.0,66.6,4.4,37.6,31.4,6.2,25.5,57.0,44.7,12.86,18.07,71.1,7.18,21.54,33.3,23.46,56.39,41.6,399,14.25,350,12.5,1.14,25.57,8.14,31.8
Syracuse (ACC),28,18,10,64.3,74.8,70.1,4.7,35.4,37.9,-2.5,26.54,60.07,44.2,13.29,17.0,78.2,8.46,24.25,34.9,25.25,61.57,41.0,419,14.96,317,11.32,1.32,27.21,8.64,31.8
Buffalo (MAC),25,16,9,64.0,81.4,72.9,8.4,43.8,35.6,8.2,30.64,66.48,46.1,13.08,19.48,67.1,7.0,20.72,33.8,26.52,63.96,41.5,397,15.88,347,13.88,1.14,21.04,6.04,28.7
Furman (SoCon),25,16,9,64.0,79.6,68.9,10.7,35.2,33.0,2.2,29.2,59.96,48.7,11.52,15.92,72.4,9.68,28.32,34.2,25.4,57.6,44.1,416,16.64,313,12.52,1.33,22.36,7.24,32.4
Morgan St. (MEAC),22,14,8,63.6,79.8,73.0,6.8,39.7,36.0,3.7,27.36,63.14,43.3,16.77,22.68,73.9,8.27,24.09,34.3,24.23,57.41,42.2,326,14.82,344,15.64,0.95,23.64,7.23,30.6
UC Riverside (Big West),22,14,8,63.6,70.2,63.6,6.5,36.3,32.9,3.5,26.0,58.18,44.7,9.05,12.82,70.6,9.14,24.64,37.1,23.0,57.18,40.2,308,14.0,264,12.0,1.17,20.0,6.36,31.8
Campbell (Big South),27,17,10,63.0,71.0,68.1,2.9,28.4,33.1,-4.7,25.89,52.19,49.6,12.0,17.7,67.8,7.22,19.26,37.5,24.93,54.3,45.9,387,14.33,327,12.11,1.18,20.56,6.33,30.8
Hartford (America East),24,15,9,62.5,65.4,63.9,1.5,33.3,35.1,-1.8,23.42,54.38,43.1,11.13,15.54,71.6,7.46,23.13,32.3,23.92,57.29,41.7,264,11.0,315,13.13,0.84,23.42,6.79,29.0
Wofford (SoCon),24,15,9,62.5,74.3,67.8,6.5,34.6,32.6,2.0,26.92,57.25,47.0,10.25,14.54,70.5,10.25,28.83,35.5,24.96,57.21,43.6,351,14.63,306,12.75,1.15,24.17,8.13,33.6
Mercer (SoCon),29,18,11,62.1,76.7,71.8,4.9,36.3,33.5,2.8,28.69,59.93,47.9,10.72,14.93,71.8,8.62,23.21,37.1,26.62,60.83,43.8,479,16.52,373,12.86,1.28,23.41,7.45,31.8
North Carolina (ACC),29,18,11,62.1,75.2,69.9,5.3,42.9,32.5,10.4,27.62,62.97,43.9,14.38,21.52,66.8,5.59,17.55,31.8,25.34,59.79,42.4,443,15.28,424,14.62,1.04,22.93,8.03,35.0
Oral Roberts (Summit League),29,18,11,62.1,81.1,75.6,5.5,34.7,39.5,-4.8,27.97,62.24,44.9,14.03,17.1,82.1,11.14,29.31,38.0,27.48,63.41,43.3,370,12.76,330,11.38,1.12,20.17,6.83,33.8
Texas Tech (Big 12),29,18,11,62.1,72.5,63.2,9.3,34.9,33.3,1.7,25.31,57.66,43.9,15.52,21.86,71.0,6.38,18.03,35.4,21.76,52.86,41.2,380,13.1,313,10.79,1.21,20.17,6.9,34.2
Xavier (Big East),21,13,8,61.9,74.8,70.2,4.6,37.7,36.6,1.1,28.05,61.19,45.8,11.0,15.86,69.4,7.71,23.71,32.5,25.76,62.38,41.3,369,17.57,235,11.19,1.57,23.24,7.86,33.8
Missouri (SEC),26,16,10,61.5,73.4,71.9,1.5,35.7,35.2,0.5,25.69,57.58,44.6,14.96,21.35,70.1,7.08,21.81,32.5,25.15,58.38,43.1,345,13.27,346,13.31,1.0,19.12,6.35,33.2
Nevada (Mountain West),26,16,10,61.5,73.7,69.7,4.0,35.7,34.5,1.2,24.85,55.58,44.7,16.27,21.54,75.5,7.73,21.81,35.4,22.77,55.69,40.9,374,14.38,331,12.73,1.13,24.54,8.15,33.2
Richmond (Atlantic 10),23,14,9,60.9,74.7,69.0,5.7,30.1,35.0,-5.0,27.13,57.43,47.2,12.87,17.7,72.7,7.52,21.04,35.7,25.74,55.83,46.1,327,14.22,241,10.48,1.36,20.35,6.43,31.6
