,Year,Team,Power 5 School,Games,W,L,Win Pct,RPG,OPP RPG,REB MAR,FGPG,FGAPG,FG%,OPP FGPG,OPP FGAPG,OPP FG%,3FGPG,3FGAPG,3FG%,OPP 3FGPG,OPP 3FGAPG,OPP 3FG%,FTPG,FTAPG,FT%,PPG,OPP PPG,SCR MAR,ASTPG,TOPG,AST/TO Ratio,Seed,Record,Berth type,Overall rank,Placement
10,2015,Notre Dame (ACC),True,38,32,6,84.2,32.4,32.7,-0.3,27.63157894736842,54.23684210526316,50.9,24.894736842105264,58.26315789473684,42.7,7.947368421052632,20.394736842105264,39.0,5.973684210526316,18.34210526315789,32.6,14.763157894736842,19.894736842105264,74.2,78.0,65.8,12.2,15.157894736842104,9.394736842105264,1.61,3.0,29–5,Auto,12.0,8.0
11,2015,Murray St. (OVC),False,35,29,6,82.9,36.9,33.1,3.8,27.457142857142856,57.0,48.2,23.17142857142857,56.57142857142857,41.0,7.514285714285714,19.4,38.7,6.485714285714286,19.428571428571427,33.4,16.542857142857144,23.742857142857144,69.7,79.0,67.6,11.3,15.514285714285714,11.742857142857142,1.32,DNP,DNP,DNP,DNP,DNP
12,2015,Valparaiso (Horizon),False,34,28,6,82.4,37.5,30.6,6.9,24.61764705882353,54.0,45.6,20.264705882352946,53.0,38.2,6.941176470588236,18.235294117647054,38.1,6.705882352941177,20.235294117647054,33.1,13.411764705882351,19.88235294117647,67.5,69.6,59.4,10.1,13.029411764705882,12.411764705882351,1.05,13.0,28–5,Auto,51.0,64.0
13,2015,Wofford (SoCon),False,35,28,7,80.0,32.5,31.1,1.4,23.37142857142857,51.48571428571429,45.4,21.057142857142857,50.371428571428574,41.8,6.342857142857143,17.02857142857143,37.2,4.942857142857143,15.971428571428572,30.9,13.514285714285714,19.65714285714286,68.8,66.6,59.7,6.9,13.17142857142857,10.82857142857143,1.22,12.0,28–6,Auto,49.0,64.0
14,2015,Maryland (Big Ten),True,35,28,7,80.0,34.9,33.4,1.5,22.314285714285717,50.77142857142857,44.0,22.857142857142858,57.885714285714286,39.5,7.371428571428571,19.62857142857143,37.6,6.914285714285715,21.685714285714287,31.9,17.057142857142857,22.571428571428573,75.6,69.1,63.4,5.7,10.742857142857142,12.314285714285717,0.87,4.0,27–6,At-large,14.0,32.0
15,2015,SMU (AAC),False,34,27,7,79.4,36.6,29.9,6.7,24.47058823529412,51.47058823529412,47.5,20.323529411764707,53.38235294117647,38.1,4.264705882352941,11.764705882352942,36.3,7.882352941176471,24.205882352941178,32.6,15.911764705882351,22.647058823529413,70.3,69.1,59.8,9.4,15.411764705882351,12.529411764705882,1.23,6.0,27–6,Auto,21.0,64.0
16,2015,Colorado St. (Mountain West),False,34,27,7,79.4,37.9,31.9,6.0,24.61764705882353,55.91176470588236,44.0,22.735294117647054,53.88235294117647,42.2,7.205882352941177,20.558823529411764,35.1,6.970588235294118,19.147058823529413,36.4,15.735294117647058,23.352941176470587,67.4,72.2,64.1,8.0,14.676470588235292,10.617647058823527,1.38,DNP,DNP,DNP,DNP,DNP
17,2015,UC Davis (Big West),False,32,25,7,78.1,31.1,31.8,-0.7,24.21875,49.46875,49.0,22.8125,55.0,41.5,8.5625,19.15625,44.7,6.53125,19.125,34.2,13.71875,18.6875,73.4,70.7,64.6,6.1,13.28125,13.34375,1.0,DNP,DNP,DNP,DNP,DNP
18,2015,Old Dominion (C-USA),False,35,27,8,77.1,36.2,31.0,5.2,23.88571428571429,55.285714285714285,43.2,19.2,47.94285714285714,40.0,5.914285714285715,18.17142857142857,32.5,5.828571428571428,18.685714285714287,31.2,11.257142857142858,16.914285714285715,66.6,64.9,57.1,7.8,13.485714285714286,10.771428571428572,1.25,DNP,DNP,DNP,DNP,DNP
19,2015,N.C. Central (MEAC),False,33,25,8,75.8,34.0,30.1,3.9,24.63636363636364,50.54545454545455,48.7,18.0,49.96969696969697,36.0,6.636363636363637,17.96969696969697,36.9,4.9393939393939394,17.484848484848484,28.2,13.12121212121212,19.151515151515152,68.5,69.0,55.2,13.8,13.969696969696969,12.545454545454543,1.11,DNP,DNP,DNP,DNP,DNP
20,2015,Dayton (Atlantic 10),False,36,27,9,75.0,31.1,32.9,-1.8,22.5,48.75,46.2,22.08333333333333,52.80555555555556,41.8,6.638888888888889,18.61111111111111,35.7,5.722222222222222,17.63888888888889,32.4,16.11111111111111,23.5,68.6,67.8,60.8,6.9,13.61111111111111,11.52777777777778,1.18,11.0,25–8,At-large,46.0,32.0
21,2015,San Diego St. (Mountain West),False,36,27,9,75.0,35.3,32.0,3.3,22.22222222222222,53.22222222222222,41.8,19.88888888888889,51.77777777777778,38.4,5.25,16.416666666666668,32.0,5.027777777777778,16.61111111111111,30.3,12.13888888888889,19.27777777777778,63.0,61.8,53.9,8.0,10.47222222222222,11.38888888888889,0.92,8.0,26–8,At-large,32.0,32.0
22,2015,Louisiana Tech (C-USA),False,36,27,9,75.0,33.6,38.0,-4.4,26.25,58.72222222222222,44.7,23.916666666666668,56.77777777777778,42.1,6.888888888888889,21.0,32.8,5.583333333333333,16.52777777777778,33.8,13.72222222222222,19.916666666666668,68.9,73.1,65.6,7.5,14.0,10.833333333333334,1.29,DNP,DNP,DNP,DNP,DNP
23,2015,Louisville (ACC),True,36,27,9,75.0,37.5,34.9,2.6,24.38888888888889,56.888888888888886,42.9,21.30555555555556,54.388888888888886,39.2,5.5,17.88888888888889,30.7,5.25,17.305555555555557,30.3,14.694444444444445,22.0,66.8,69.0,59.8,9.1,11.63888888888889,11.333333333333334,1.03,4.0,24–8,At-large,15.0,8.0
24,2015,Arkansas (SEC),True,36,27,9,75.0,35.8,35.6,0.3,27.166666666666668,61.0,44.5,24.13888888888889,56.41666666666666,42.8,6.611111111111111,18.916666666666668,34.9,6.194444444444445,17.61111111111111,35.2,16.47222222222222,22.75,72.4,77.4,70.1,7.3,16.083333333333332,11.944444444444445,1.35,5.0,26–8,At-large,18.0,32.0
