Rank,Team,OPP 3FGAPG,OPP 3FGPG,OPP 3FG%
329,Towson (CAA),24.22,9.28,38.3
330,Omaha (Summit League),21.76,8.36,38.4
331,North Dakota (Summit League),18.62,7.15,38.4
332,San Diego (WCC),18.57,7.14,38.5
333,Robert Morris (Horizon),22.16,8.53,38.5
334,Lamar University (Southland),20.86,8.07,38.7
335,Northern Ill. (MAC),23.89,9.32,39
336,Cal St. Fullerton (Big West),21.19,8.31,39.2
337,Western Ill. (Summit League),19.95,7.86,39.4
338,Chicago St. (WAC),22.78,9.00,39.5
339,Ark.-Pine Bluff (SWAC),19.12,7.64,40
340,Evansville (MVC),14.64,6.00,41
