Rank,Team,AST,ASTPG,TO,TOPG,AST/TO Ratio
319,Marist (MAAC),229,10.90,304,14.48,0.75
320,UC Davis (Big West),195,10.83,259,14.39,0.75
321,Radford (Big South),301,11.15,404,14.96,0.75
322,Idaho (Big Sky),266,12.09,360,16.36,0.74
323,Maine (America East),108,12.00,147,16.33,0.73
324,Long Beach St. (Big West),210,11.67,288,16.00,0.73
325,Omaha (Summit League),236,9.44,326,13.04,0.72
326,Fresno St. (Mountain West),249,10.38,344,14.33,0.72
327,DePaul (Big East),217,11.42,300,15.79,0.72
328,Alabama A&M (SWAC),165,11.00,229,15.27,0.72
329,Presbyterian (Big South),235,10.68,334,15.18,0.70
330,Jackson St. (SWAC),190,10.56,272,15.11,0.70
331,Delaware St. (MEAC),216,11.37,321,16.89,0.67
332,Middle Tenn. (C-USA),229,9.96,345,15.00,0.66
333,Alcorn (SWAC),177,9.32,276,14.53,0.64
334,Chicago St. (WAC),89,9.89,140,15.56,0.64
335,Southeastern La. (Southland),261,10.04,414,15.92,0.63
336,Charleston So. (Big South),218,10.38,346,16.48,0.63
337,Mississippi Val. (SWAC),264,11.00,429,17.88,0.62
338,Ark.-Pine Bluff (SWAC),240,9.60,394,15.76,0.61
339,Alabama St. (SWAC),175,9.72,291,16.17,0.60
340,South Carolina St. (MEAC),178,9.89,312,17.33,0.57
