Year,Team,Power 5 School,Games,W,L,Win Pct,RPG,OPP RPG,REB MAR,FGPG,FGAPG,FG%,OPP FGPG,OPP FGAPG,OPP FG%,3FGPG,3FGAPG,3FG%,OPP 3FGPG,OPP 3FGAPG,OPP 3FG%,FTPG,FTAPG,FT%,PPG,OPP PPG,SCR MAR,ASTPG,TOPG,AST/TO Ratio
2017,The Citadel (SoCon),False,33,12,21,36.4,37.4,44.0,-6.6,29.696969696969695,71.48484848484848,41.5,33.515151515151516,65.51515151515152,51.2,12.030303030303031,35.333333333333336,34.0,8.545454545454545,22.060606060606062,38.7,18.393939393939394,24.303030303030305,75.7,89.8,94.6,-4.8,17.0,14.333333333333334,1.19
2017,Air Force (Mountain West),False,33,12,21,36.4,34.8,34.4,0.5,24.757575757575758,56.84848484848485,43.6,26.09090909090909,57.06060606060606,45.7,8.0,22.060606060606062,36.3,9.696969696969697,26.666666666666668,36.4,15.545454545454545,21.666666666666668,71.7,73.1,75.1,-2.0,14.969696969696969,12.0,1.25
2017,Saint Louis (Atlantic 10),False,33,12,21,36.4,33.1,35.7,-2.6,21.21212121212121,52.515151515151516,40.4,23.757575757575758,54.15151515151515,43.9,6.96969696969697,20.363636363636363,34.2,7.2727272727272725,20.424242424242426,35.6,12.0,18.09090909090909,66.3,61.4,69.3,-7.9,12.818181818181818,13.363636363636363,0.96
2017,Cal Poly (Big West),False,31,11,20,35.5,32.3,37.3,-5.0,23.419354838709676,58.096774193548384,40.3,25.516129032258064,54.67741935483871,46.7,8.32258064516129,24.483870967741936,34.0,5.935483870967742,15.161290322580646,39.1,12.0,17.225806451612904,69.7,67.2,72.3,-5.2,10.387096774193548,10.741935483870968,0.97
2017,Oklahoma (Big 12),True,31,11,20,35.5,37.8,37.3,0.5,25.419354838709676,60.12903225806452,42.3,26.0,60.354838709677416,43.1,6.193548387096774,18.032258064516128,34.3,8.35483870967742,22.903225806451612,36.5,15.935483870967742,22.096774193548388,72.1,73.0,74.2,-1.2,10.612903225806452,13.806451612903226,0.77
2017,Indiana St. (MVC),False,31,11,20,35.5,35.8,40.9,-5.1,24.580645161290324,59.096774193548384,41.6,24.451612903225808,58.32258064516129,41.9,8.193548387096774,23.387096774193548,35.0,6.741935483870968,18.06451612903226,37.3,12.64516129032258,18.580645161290324,68.1,70.0,72.7,-2.7,13.451612903225806,12.774193548387096,1.05
2017,Saint Joseph's (Atlantic 10),False,31,11,20,35.5,36.5,35.8,0.7,24.35483870967742,58.32258064516129,41.8,25.129032258064516,57.903225806451616,43.4,5.612903225806452,17.322580645161292,32.4,9.064516129032258,25.967741935483872,34.9,15.193548387096774,23.387096774193548,65.0,69.5,73.1,-3.5,11.35483870967742,11.96774193548387,0.95
2017,NJIT (ASUN),False,31,11,20,35.5,36.6,33.7,2.9,25.35483870967742,59.903225806451616,42.3,26.258064516129032,57.193548387096776,45.9,8.32258064516129,25.0,33.3,8.193548387096774,21.838709677419356,37.5,13.580645161290322,19.322580645161292,70.3,72.6,74.8,-2.2,12.741935483870968,14.064516129032258,0.91
2017,South Carolina St. (MEAC),False,31,11,20,35.5,32.0,38.1,-6.2,25.677419354838708,59.67741935483871,43.0,28.580645161290324,59.096774193548384,48.4,5.967741935483871,18.64516129032258,32.0,7.032258064516129,20.35483870967742,34.5,12.580645161290322,18.193548387096776,69.1,69.9,80.2,-10.3,12.290322580645162,12.35483870967742,0.99
2017,Stetson (ASUN),False,32,11,21,34.4,35.3,43.1,-7.8,27.6875,62.71875,44.1,30.125,66.3125,45.4,8.15625,24.0625,33.9,8.34375,24.03125,34.7,13.6875,20.78125,65.9,77.2,82.9,-5.7,13.625,11.3125,1.2
2017,Miami (OH) (MAC),False,32,11,21,34.4,34.1,38.2,-4.1,24.59375,56.71875,43.4,24.875,57.5625,43.2,6.21875,20.21875,30.8,8.46875,24.4375,34.7,14.875,21.53125,69.1,70.3,74.5,-4.2,11.375,14.59375,0.78
2017,UNLV (Mountain West),False,32,11,21,34.4,37.7,38.0,-0.3,23.34375,59.15625,39.5,27.5625,61.15625,45.1,6.65625,20.8125,32.0,8.0,21.15625,37.8,15.46875,22.21875,69.6,68.8,75.2,-6.3,12.875,12.8125,1.0
2017,Texas (Big 12),True,33,11,22,33.3,34.3,35.8,-1.5,24.545454545454547,55.96969696969697,43.9,24.848484848484848,58.54545454545455,42.4,5.484848484848484,18.78787878787879,29.2,6.606060606060606,20.272727272727273,32.6,12.545454545454545,19.303030303030305,65.0,67.1,68.9,-1.8,11.424242424242424,13.424242424242424,0.85
2017,Pacific (WCC),False,33,11,22,33.3,37.1,35.1,2.0,23.757575757575758,58.78787878787879,40.4,24.242424242424242,54.0,44.9,5.606060606060606,16.96969696969697,33.0,7.848484848484849,22.242424242424242,35.3,13.727272727272727,20.333333333333332,67.5,66.8,71.8,-5.0,12.0,11.696969696969697,1.03
